object_file,pal_start,pal_end,function_count,seed_count,offset_used,functions_mapped,confidence,notes
way_tool.o,0x00202638,0x00203478,3,0,0x00000000,0,NONE,No anchor found
deja.o,0x002034F8,0x00203D98,6,1,0x-000F010,5,MEDIUM,"5/6 validated, 0 mismatches, offset=0x-000F010"
e3.o,0x00203DC0,0x00206A38,41,0,0x00000000,0,NONE,No anchor found
end.o,0x00206AC8,0x00209B58,52,0,0x00000000,0,NONE,No anchor found
op.o,0x00209C18,0x0020BBE0,15,0,0x00000000,0,NONE,No anchor found
st00a.o,0x0020BD68,0x0020CEF8,22,1,0x-000FF90,6,LOW,"6/22 validated, 15 mismatches, offset=0x-000FF90"
st01b.o,0x0020CFD8,0x0020D908,18,0,0x00000000,0,NONE,No anchor found
st02a.o,0x0020D9B8,0x0020F168,36,0,0x00000000,0,NONE,No anchor found
st03t.o,0x0020F1B8,0x00210230,21,0,0x00000000,0,NONE,No anchor found
st04a.o,0x002102D8,0x002142C8,30,0,0x00000000,0,NONE,No anchor found
st04b.o,0x002143A8,0x00214C48,14,0,0x00000000,0,NONE,No anchor found
st04c.o,0x00214CD0,0x002155A0,16,1,0x-0010C20,15,MEDIUM,"15/16 validated, 0 mismatches, offset=0x-0010C20"
st04d.o,0x002155B0,0x00215FE0,12,0,0x00000000,0,NONE,No anchor found
st04e.o,0x002160C0,0x002162B8,5,0,0x00000000,0,NONE,No anchor found
st04l.o,0x00216330,0x0021B2A0,115,0,0x00000000,0,NONE,No anchor found
st04r.o,0x0021B2E8,0x0021FA28,104,1,0x-000BC18,1,LOW,"1/104 validated, 102 mismatches, offset=0x-000BC18"
st05b.o,0x0021FA70,0x00220068,9,0,0x00000000,0,NONE,No anchor found
st05c.o,0x002200F0,0x00220A00,14,0,0x00000000,0,NONE,No anchor found
st05d.o,0x00220A70,0x002211A8,10,0,0x00000000,0,NONE,No anchor found
st05e.o,0x00221218,0x002215E8,7,0,0x00000000,0,NONE,No anchor found
st06a.o,0x00221660,0x00223460,44,0,0x00000000,0,NONE,No anchor found
st07a.o,0x00223528,0x002252F0,32,0,0x00000000,0,NONE,No anchor found
st08a.o,0x00225368,0x00225BB8,16,1,0x-0002E90,1,LOW,"1/16 validated, 14 mismatches, offset=0x-0002E90"
st08b.o,0x00225C60,0x00226A88,16,0,0x00000000,0,NONE,No anchor found
st09a.o,0x00226AF0,0x00227210,14,1,0x-00120B0,3,LOW,"3/14 validated, 10 mismatches, offset=0x-00120B0"
st10l.o,0x00227268,0x00228940,37,0,0x00000000,0,NONE,No anchor found
st10r.o,0x00228998,0x00229E08,28,1,0x-0012284,2,LOW,"2/28 validated, 25 mismatches, offset=0x-0012284"
st13a.o,0x00229E80,0x0022A900,15,0,0x00000000,0,NONE,No anchor found
st13b.o,0x0022A9B0,0x0022CA30,32,0,0x00000000,0,NONE,No anchor found
st13b2.o,0x0022CAE8,0x0022CAE8,1,0,0x00000000,0,NONE,No anchor found
st13c.o,0x0022CB18,0x0022F7B8,42,1,0x-0012D70,4,LOW,"4/42 validated, 37 mismatches, offset=0x-0012D70"
st13d.o,0x0022F810,0x0022FA90,4,1,0x-000E288,1,LOW,"1/4 validated, 2 mismatches, offset=0x-000E288"
st17a.o,0x0022FA98,0x002308F8,17,0,0x00000000,0,NONE,No anchor found
st17b.o,0x00230948,0x00230AC8,5,0,0x00000000,0,NONE,No anchor found
st18a.o,0x00230B68,0x00231CC0,21,0,0x00000000,0,NONE,No anchor found
st19a.o,0x00231D40,0x00232AB8,18,0,0x00000000,0,NONE,No anchor found
st20a.o,0x00232B58,0x00233C58,24,0,0x00000000,0,NONE,No anchor found
st22a.o,0x00233CD0,0x00234188,4,0,0x00000000,0,NONE,No anchor found
st24a.o,0x002342A0,0x002344E8,3,0,0x00000000,0,NONE,No anchor found
st47a.o,0x00234528,0x00235CA0,41,0,0x00000000,0,NONE,No anchor found
st99a.o,0x00235D10,0x002363A0,16,0,0x00000000,0,NONE,No anchor found
stageSEProc.o,0x00236408,0x00238070,47,0,0x00000000,0,NONE,No anchor found
access.o,0x00238100,0x00238148,2,0,0x00000000,0,NONE,No anchor found
lws_kyomi.o,0x002381F8,0x00238288,3,1,0x00000058,1,LOW,"1/3 validated, 1 mismatches, offset=0x00000058"
objact.o,0x00238338,0x00238520,5,1,0x00000060,1,LOW,"1/5 validated, 3 mismatches, offset=0x00000060"
mv_audiodec.o,0x00238580,0x00238FF0,9,0,0x00000000,0,NONE,No anchor found
mv_disp.o,0x00239088,0x0023A438,34,0,0x00000000,0,NONE,No anchor found
mv_sub.o,0x0023A468,0x0023A478,2,1,0x-0000184,1,MEDIUM,"1/2 validated, 0 mismatches, offset=0x-0000184"
mv_vibuf.o,0x0023A5E8,0x0023B6F8,12,0,0x00000000,0,NONE,No anchor found
GobjProc.o,0x0023B7E8,0x0023BB28,8,1,0x-0000040,1,LOW,"1/8 validated, 6 mismatches, offset=0x-0000040"
PObj.o,0x0023C078,0x0023C688,3,0,0x00000000,0,NONE,No anchor found
vobj.o,0x0023C6A8,0x002EC7C0,706,0,0x00000000,0,NONE,No anchor found
