object_file,pal_start,pal_end,size,function_count
st01b.o,0x0020CFD8,0x0020D9B8,2528,18
st02a.o,0x0020D9B8,0x0020F1B4,6140,36
st03t.o,0x0020F1B8,0x002102D8,4384,21
st04a.o,0x002102D8,0x002143A4,16588,30
st04b.o,0x002143A8,0x00214CD0,2344,14
st04c.o,0x00214CD0,0x002155B0,2272,16
st04d.o,0x002155B0,0x002160BC,2828,12
st04e.o,0x002160C0,0x00216330,624,5
st04l.o,0x00216330,0x0021B2E4,20404,115
st04r.o,0x0021B2E8,0x0021FA6C,18308,104
st05b.o,0x0021FA70,0x002200F0,1664,9
st05c.o,0x002200F0,0x00220A70,2432,14
st05d.o,0x00220A70,0x00221218,1960,10
st05e.o,0x00221218,0x00221660,1096,7
st06a.o,0x00221660,0x00223524,7876,44
st07a.o,0x00223528,0x00225364,7740,32
st08a.o,0x00225368,0x00225C60,2296,16
st08b.o,0x00225C60,0x00226AF0,3728,16
st09a.o,0x00226AF0,0x00227268,1912,14
st10l.o,0x00227268,0x00228998,5936,37
st10r.o,0x00228998,0x00229E80,5352,28
st13a.o,0x00229E80,0x0022A9B0,2864,15
st13b.o,0x0022A9B0,0x0022CAE4,8500,32
st13b2.o,0x0022CAE8,0x0022CB18,48,1
st13c.o,0x0022CB18,0x0022F80C,11508,42
st13d.o,0x0022F810,0x0022FA98,648,4
st17a.o,0x0022FA98,0x00230944,3756,17
st17b.o,0x00230948,0x00230B68,544,5
st18a.o,0x00230B68,0x00231D3C,4564,21
st19a.o,0x00231D40,0x00232B58,3608,18
st20a.o,0x00232B58,0x00233CCC,4468,24
st22a.o,0x00233CD0,0x002342A0,1488,4
st24a.o,0x002342A0,0x00234528,648,3
st47a.o,0x00234528,0x00235D10,6120,41
st99a.o,0x00235D10,0x00236408,1784,16
stageSEProc.o,0x00236408,0x00238100,7416,47
access.o,0x00238100,0x002381F4,244,2
lws_kyomi.o,0x002381F8,0x00238334,316,3
objact.o,0x00238338,0x00238574,572,5
mv_audiodec.o,0x00238578,0x00239084,2828,9
mv_disp.o,0x00239088,0x0023A464,5084,34
mv_sub.o,0x0023A468,0x0023A5B0,328,2
mv_vibuf.o,0x0023A5B0,0x0023B7E4,4660,12
GobjProc.o,0x0023B7E8,0x0023BC4C,1124,8
PObj.o,0x0023BC50,0x0023C6A8,2648,3
vobj.o,0x0023C6A8,0x0023C7AC,260,706
